,Acton Town-Epping,"Heathrow Terminals 1, 2 & 3-High Barnet",White City-Wapping
Astar,0.210969,0.227803,0.19559
,0.211933,0.225379,0.196519
,0.211225,0.229151,0.192922
,0.224569,0.227264,0.192265
,0.212722,0.22674,0.194776
,0.211604,0.22551,0.193026
,0.209946,0.224961,0.192756
,0.211722,0.224808,0.1936
,0.212011,0.226963,0.193317
,0.21703,0.225878,0.194136
,,,
Dijkstra,0.903097,1.007142,0.205422
,0.963753,1.000537,0.203383
,0.923945,1.005181,0.201901
,0.900827,0.990532,0.203483
,0.910677,1.0135,0.202697
,0.885458,1.017296,0.203321
,0.896199,0.987178,0.202758
,0.898264,0.990922,0.202786
,0.900643,1.008238,0.204981
,0.901568,1.024032,0.202679
,,,
SPFA,0.195365,0.195966,0.194864
,0.195336,0.196745,0.194129
,0.197266,0.196761,0.197175
,0.196888,0.196915,0.195419
,0.19637,0.196814,0.195043
,0.19628,0.195477,0.194623
,0.197078,0.195556,0.19544
,0.19805,0.197202,0.195524
,0.19835,0.198751,0.1957
,0.202152,0.195906,0.194444
,,,
Bellman-Ford,0.198821,0.196879,0.196493
,0.196537,0.202593,0.197217
,0.196277,0.196147,0.194758
,0.197453,0.195601,0.198764
,0.195382,0.195546,0.195302
,0.196814,0.195089,0.195118
,0.19698,0.196918,0.195129
,0.198037,0.195433,0.193333
,0.197808,0.195294,0.195543
,0.196619,0.19501,0.196243
